,Laptop_name,Rate,Review
0,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 H...,"₹34,990",4.3
1,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq262...,"₹41,990",4.3
2,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15...,"₹34,990",4.3
3,Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML...,"₹38,490",4.4
4,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windo...,"₹38,990",4.3
5,Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 ...,"₹29,990",4.3
6,HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10...,"₹57,990",4.5
7,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14...,"₹49,490",4.4
8,ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB ...,"₹50,990",4.3
9,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD...,"₹50,990",4.3
10,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windo...,"₹47,490",4.3
11,Lenovo Ideapad Slim 5i Core i5 11th Gen - (16 GB/512 GB SSD/Windo...,"₹61,990",4.4
12,acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows ...,"₹54,990",4.5
13,ASUS ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (16 GB/512 GB ...,"₹79,990",4.5
14,acer Nitro 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/...,"₹60,990",4.5
15,MSI GF63 Thin Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Window...,"₹65,990",4.3
16,Lenovo IdeaPad Gaming 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windo...,"₹59,990",4.3
17,acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home...,"₹54,990",4.4
18,ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chro...,"₹25,990",4
19,ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chro...,"₹24,990",4.1
20,ASUS Chromebook Flip Celeron Dual Core - (4 GB/64 GB EMMC Storage...,"₹23,990",4.1
21,HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Ch...,"₹22,990",3.8
22,ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chro...,"₹22,490",3.8
23,HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Ch...,"₹20,490",3.8
